time,fishing_engagement,location,region
2015-01-01T00:00:00Z,0.31894,"Shelter Cove, CA",NCA
2016-01-01T00:00:00Z,0.39906,"Shelter Cove, CA",NCA
2017-01-01T00:00:00Z,0.235,"Shelter Cove, CA",NCA
2018-01-01T00:00:00Z,0.17526093,"Shelter Cove, CA",NCA
2005-01-01T00:00:00Z,7.0906,"Shelton, WA",WA
2006-01-01T00:00:00Z,7.10306,"Shelton, WA",WA
2007-01-01T00:00:00Z,9.88637,"Shelton, WA",WA
2008-01-01T00:00:00Z,7.11543,"Shelton, WA",WA
2009-01-01T00:00:00Z,5.77911,"Shelton, WA",WA
2010-01-01T00:00:00Z,6.27655,"Shelton, WA",WA
2011-01-01T00:00:00Z,0.25979,"Shelton, WA",WA
2012-01-01T00:00:00Z,0.11415,"Shelton, WA",WA
2013-01-01T00:00:00Z,0.23294,"Shelton, WA",WA
2014-01-01T00:00:00Z,0.20223,"Shelton, WA",WA
2015-01-01T00:00:00Z,0.00357,"Shelton, WA",WA
2016-01-01T00:00:00Z,0.9384,"Shelton, WA",WA
2017-01-01T00:00:00Z,0.74599,"Shelton, WA",WA
2018-01-01T00:00:00Z,4.7048583,"Shelton, WA",WA
2005-01-01T00:00:00Z,0.23562,"Trinidad, CA",NCA
2006-01-01T00:00:00Z,0.68561,"Trinidad, CA",NCA
2007-01-01T00:00:00Z,0.74262,"Trinidad, CA",NCA
2008-01-01T00:00:00Z,0.89197,"Trinidad, CA",NCA
2009-01-01T00:00:00Z,0.92207,"Trinidad, CA",NCA
2010-01-01T00:00:00Z,0.78828,"Trinidad, CA",NCA
2011-01-01T00:00:00Z,1.06927,"Trinidad, CA",NCA
2012-01-01T00:00:00Z,0.57266,"Trinidad, CA",NCA
2013-01-01T00:00:00Z,0.73163,"Trinidad, CA",NCA
2014-01-01T00:00:00Z,0.71756,"Trinidad, CA",NCA
2015-01-01T00:00:00Z,0.2872,"Trinidad, CA",NCA
2016-01-01T00:00:00Z,0.55438,"Trinidad, CA",NCA
2017-01-01T00:00:00Z,0.67242,"Trinidad, CA",NCA
2018-01-01T00:00:00Z,0.61668897,"Trinidad, CA",NCA
2005-01-01T00:00:00Z,1.62701,"Ventura, CA",SCA
2006-01-01T00:00:00Z,2.45081,"Ventura, CA",SCA
2007-01-01T00:00:00Z,4.89683,"Ventura, CA",SCA
2008-01-01T00:00:00Z,4.50094,"Ventura, CA",SCA
2009-01-01T00:00:00Z,7.06575,"Ventura, CA",SCA
2010-01-01T00:00:00Z,6.23417,"Ventura, CA",SCA
2011-01-01T00:00:00Z,4.9425,"Ventura, CA",SCA
2012-01-01T00:00:00Z,3.79747,"Ventura, CA",SCA
2013-01-01T00:00:00Z,4.36105,"Ventura, CA",SCA
2014-01-01T00:00:00Z,4.97881,"Ventura, CA",SCA
2015-01-01T00:00:00Z,4.75566,"Ventura, CA",SCA
2016-01-01T00:00:00Z,4.07231,"Ventura, CA",SCA
2017-01-01T00:00:00Z,6.4002,"Ventura, CA",SCA
2018-01-01T00:00:00Z,3.464702,"Ventura, CA",SCA
2005-01-01T00:00:00Z,13.56289,"Westport, WA",WA
2006-01-01T00:00:00Z,11.49393,"Westport, WA",WA
2007-01-01T00:00:00Z,11.0226,"Westport, WA",WA
2008-01-01T00:00:00Z,12.95387,"Westport, WA",WA
2009-01-01T00:00:00Z,10.04097,"Westport, WA",WA
2010-01-01T00:00:00Z,11.97686,"Westport, WA",WA
2011-01-01T00:00:00Z,9.07139,"Westport, WA",WA
2012-01-01T00:00:00Z,12.47202,"Westport, WA",WA
2013-01-01T00:00:00Z,12.70149,"Westport, WA",WA
2014-01-01T00:00:00Z,12.76652,"Westport, WA",WA
2015-01-01T00:00:00Z,15.68207,"Westport, WA",WA
2016-01-01T00:00:00Z,13.72644,"Westport, WA",WA
2017-01-01T00:00:00Z,16.83776,"Westport, WA",WA
2018-01-01T00:00:00Z,12.207733,"Westport, WA",WA
2005-01-01T00:00:00Z,0.75388,"Winchester Bay, OR",OR
2006-01-01T00:00:00Z,0.75231,"Winchester Bay, OR",OR
2007-01-01T00:00:00Z,0.85776,"Winchester Bay, OR",OR
2008-01-01T00:00:00Z,0.74292,"Winchester Bay, OR",OR
2009-01-01T00:00:00Z,1.49832,"Winchester Bay, OR",OR
2010-01-01T00:00:00Z,1.24314,"Winchester Bay, OR",OR
2011-01-01T00:00:00Z,2.18515,"Winchester Bay, OR",OR
2012-01-01T00:00:00Z,1.1216,"Winchester Bay, OR",OR
2013-01-01T00:00:00Z,0.63178,"Winchester Bay, OR",OR
2014-01-01T00:00:00Z,1.19737,"Winchester Bay, OR",OR
2015-01-01T00:00:00Z,1.50954,"Winchester Bay, OR",OR
2016-01-01T00:00:00Z,0.89667,"Winchester Bay, OR",OR
2017-01-01T00:00:00Z,1.62631,"Winchester Bay, OR",OR
2018-01-01T00:00:00Z,1.1844753,"Winchester Bay, OR",OR
